drug, smile
FLUDARA, C1=NC2=C(N=C(N=C2N1[C@H]3[C@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)F)N
Mycophenolate, CC1=C2COC(=O)C2=C(C(=C1OC)C/C=C(\C)/CCC(=O)O)O
Vitamin B-12, CC1=CC2=C(C=C1C)N(C=N2)[C@@H]3[C@@H]([C@@H]([C@H](O3)CO)OP(=O)([O-])O[C@H](C)CNC(=O)CC[C@@]\4([C@H]([C@@H]5[C@]6([C@@]([C@@H](C(=N6)/C(=C\7/[C@@]([C@@H](C(=N7)/C=C\8/C([C@@H](C(=N8)/C(=C4\[N-]5)/C)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)/C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[C-]#N.[Co+3]
Idoxuridine, C1[C@@H]([C@H](O[C@H]1N2C=C(C(=O)NC2=O)I)CO)O
Flecainide, C1CCNC(C1)CNC(=O)C2=C(C=CC(=C2)OCC(F)(F)F)OCC(F)(F)F
Fenoprofen, CC(C1=CC(=CC=C1)OC2=CC=CC=C2)C(=O)O
Coumarins, CC(=O)CC(C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)O
Trilafon, C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl)CCO
Sulfapyridine, C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N
Zafirlukast, CC1=CC=CC=C1S(=O)(=O)NC(=O)C2=CC(=C(C=C2)CC3=CN(C4=C3C=C(C=C4)NC(=O)OC5CCCC5)C)OC
Diphenoxylate hydrochloride, CCOC(=O)C1(CCN(CC1)CCC(C#N)(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4.Cl
Rifamycins, CC1/C=C\C=C(/C(=O)NC2=CC(=O)C3=C(C2=O)C(=C(C4=C3C(=O)C(O4)(O/C=C\C(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C)O)\C
Lithostat, CC(=O)NO
Levothyroxine, C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)C[C@@H](C(=O)O)N
Glimepiride, CCC1=C(CN(C1=O)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCC(CC3)C)C
Phenylbutazone, CCCCC1C(=O)N(N(C1=O)C2=CC=CC=C2)C3=CC=CC=C3
Apraclonidine, C1CN=C(N1)NC2=C(C=C(C=C2Cl)N)Cl
Nandrolone, C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=O)CC[C@H]34
REVIA, C1CC1CN2CC[C@]34[C@@H]5C(=O)CC[C@]3([C@H]2CC6=C4C(=C(C=C6)O)O5)O
Gentamycin, CC(C1CCC(C(O1)OC2C(CC(C(C2O)OC3C(C(C(CO3)(C)O)NC)O)N)N)N)NC
Acetophenazine, CC(=O)C1=CC2=C(C=C1)SC3=CC=CC=C3N2CCCN4CCN(CC4)CCO
Magnesium sulfate, [O-]S(=O)(=O)[O-].[Mg+2]
ARAVA, CC1=C(C=NO1)C(=O)NC2=CC=C(C=C2)C(F)(F)F
Salsalate, C1=CC=C(C(=C1)C(=O)OC2=CC=CC=C2C(=O)O)O
Lactulose, C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@@]([C@H]2O)(CO)O)CO)O)O)O)O
Dorzolamide, CCN[C@H]1C[C@@H](S(=O)(=O)C2=C1C=C(S2)S(=O)(=O)N)C
Sirolimus, C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)O)C)/C)O)OC)C)C)/C)OC
TAMBOCOR, C1CCNC(C1)CNC(=O)C2=C(C=CC(=C2)OCC(F)(F)F)OCC(F)(F)F
Septra, CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N.COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N
AUGMENTIN XR, CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C.C1[C@@H]2N(C1=O)[C@H](/C(=C/CO)/O2)C(=O)[O-].[K+]
Theobromine, CN1C=NC2=C1C(=O)NC(=O)N2C
PROSTIN E2, CCCCC[C@@H](/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1C/C=C\CCCC(=O)O)O)O
Tramadol, CN(C)C[C@H]1CCCC[C@@]1(C2=CC(=CC=C2)OC)O
Phenurone, C1=CC=C(C=C1)CC(=O)NC(=O)N
Zaleplon, CCN(C1=CC=CC(=C1)C2=CC=NC3=C(C=NN23)C#N)C(=O)C
Viagra, CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C.C(C(=O)O)C(CC(=O)O)(C(=O)O)O
Doxorubicinol, C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)([C@H](CO)O)O)N)O
Ritonavir, CC(C)C1=NC(=CS1)CN(C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC2=CC=CC=C2)C[C@@H]([C@H](CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)O
Cysteine, C([C@@H](C(=O)O)N)S
Marplan, CC1=CC(=NO1)C(=O)NNCC2=CC=CC=C2
ADL 8-2698, C[C@H]1CN(CC[C@@]1(C)C2=CC(=CC=C2)O)C[C@H](CC3=CC=CC=C3)C(=O)NCC(=O)O
Lovastatin, CC[C@H](C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C
Phenobarbital, CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2
Ethopropazine, CCN(CC)C(C)CN1C2=CC=CC=C2SC3=CC=CC=C31
Alcohol, CCO
NTG, C(C(CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-]
SUBUTEX, C[C@]([C@H]1C[C@@]23CC[C@@]1([C@H]4[C@@]25CCN([C@@H]3CC6=C5C(=C(C=C6)O)O4)CC7CC7)OC)(C(C)(C)C)O.Cl
Voriconazole, C[C@@H](C1=NC=NC=C1F)[C@](CN2C=NC=N2)(C3=C(C=C(C=C3)F)F)O
Paclitaxel, CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C
Anisindione, COC1=CC=C(C=C1)C2C(=O)C3=CC=CC=C3C2=O
Transferrin, C1CC(N(C1)C(=O)C(CC2=CN=CN2)NC(=O)C3CCC(=O)N3)C(=O)N
Cerebyx, C1=CC=C(C=C1)C2(C(=O)N(C(=O)N2)COP(=O)(O)O)C3=CC=CC=C3
Topamax, CC1(O[C@@H]2CO[C@@]3([C@H]([C@@H]2O1)OC(O3)(C)C)COS(=O)(=O)N)C
Oxaprozin, C1=CC=C(C=C1)C2=C(OC(=N2)CCC(=O)O)C3=CC=CC=C3
Tenormin, CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O
Etidronate, CC(O)(P(=O)(O)O)P(=O)(O)O
Clozapine, CN1CCN(CC1)C2=NC3=C(C=CC(=C3)Cl)NC4=CC=CC=C42
Propofol, CC(C)C1=C(C(=CC=C1)C(C)C)O
Iodamide, CC(=O)NCC1=C(C(=C(C(=C1I)NC(=O)C)I)C(=O)O)I
Fenofibrate, CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl
Phencyclidine, C1CCC(CC1)(C2=CC=CC=C2)N3CCCCC3
Eldepryl, C[C@H](CC1=CC=CC=C1)N(C)CC#C
N-allylnormetazocine, CC1C2CC3=C(C1(CCN2CC=C)C)C=C(C=C3)O
Captopril, C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O
Hydantoins, C1C(=O)NC(=O)N1
Isoproterenol hydrochloride, CC(C)NCC(C1=CC(=C(C=C1)O)O)O.Cl
Ribavirin, C1=NC(=NN1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)C(=O)N
Compazine, CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl
Aminopyrine, CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)C
Nalfon, CC(C1=CC(=CC=C1)OC2=CC=CC=C2)C(=O)O
Vitamin B12, CC1=CC2=C(C=C1C)N(C=N2)[C@@H]3[C@@H]([C@@H]([C@H](O3)CO)OP(=O)([O-])O[C@H](C)CNC(=O)CC[C@@]4([C@H]([C@@H]5[C@]6([C@@]([C@@H](/C(=C(/C7=N/C(=C\C8=N/C(=C(\C4=N5)/C)/[C@H](C8(C)C)CCC(=O)N)/[C@H]([C@]7(C)CC(=O)N)CCC(=O)N)\C)/[N-]6)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[C-]#N.[Co+3]
Sulfonylurea, C(=O)(N)N=S(=O)=O.C(=O)(N)N=S(=O)=O
Divalproex, CCCC(CCC)C(=O)O.CCCC(CCC)C(=O)[O-].[Na+]
Tranylcypromine sulfate, C1[C@H]([C@@H]1N)C2=CC=CC=C2.C1[C@H]([C@@H]1N)C2=CC=CC=C2.OS(=O)(=O)O
Norfluoxetine, C1=CC=C(C=C1)C(CCN)OC2=CC=C(C=C2)C(F)(F)F
DURAGESIC, CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3
Pletal, C1CCC(CC1)N2C(=NN=N2)CCCCOC3=CC4=C(C=C3)NC(=O)CC4
Cefixime, C=CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)/C(=N\OCC(=O)O)/C3=CSC(=N3)N)SC1)C(=O)O
PRECEDEX, CC1=C(C(=CC=C1)[C@H](C)C2=CN=CN2)C.Cl
PABA, C1=CC(=CC=C1C(=O)O)N
Phenytoin, C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3
Oxipurinol, C1=NNC2=C1C(=O)NC(=O)N2
Didanosine, C1C[C@@H](O[C@@H]1CO)N2C=NC3=C2N=CNC3=O
Pentamidine, C1=CC(=CC=C1C(=N)N)OCCCCCOC2=CC=C(C=C2)C(=N)N
Hydroxychloroquine, CCN(CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl)CCO
Desflurane, C(C(F)(F)F)(OC(F)F)F
Ofloxacin, CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O
Colestipol hydrochloride, C(CNCCNCCNCCN)N.Cl
Flumazenil, CCOC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CC(=C3)F)C
Glibenclamide, COC1=C(C=C(C=C1)Cl)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3
Rapamycin, C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)O)C)/C)O)OC)C)C)/C)OC
Dehydroaripiprazole, C1CN(CCN1CCCCOC2=CC3=C(C=C2)C=CC(=O)N3)C4=C(C(=CC=C4)Cl)Cl
Reserpine, CO[C@H]1[C@@H](C[C@@H]2CN3CCC4=C([C@H]3C[C@@H]2[C@@H]1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC
Motrin, CC(C)CC1=CC=C(C=C1)C(C)C(=O)O
Diasone, C1=CC(=CC=C1NCS(=O)[O-])S(=O)(=O)C2=CC=C(C=C2)NCS(=O)[O-].[Na+].[Na+]
Oxolinic acid, CCN1C=C(C(=O)C2=CC3=C(C=C21)OCO3)C(=O)O
Epinephrine, CNC[C@@H](C1=CC(=C(C=C1)O)O)O
Valdecoxib, CC1=C(C(=NO1)C2=CC=CC=C2)C3=CC=C(C=C3)S(=O)(=O)N
Dolasetron mesylate, CS(=O)(=O)O.C1[C@@H]2CC(C[C@H]3N2CC(=O)C1C3)OC(=O)C4=CNC5=CC=CC=C54.O
Cobalt, [Co]
EMTRIVA, C1[C@H](O[C@H](S1)CO)N2C=C(C(=NC2=O)N)F
6MNA, COC1=CC2=C(C=C1)C=C(C=C2)CC(=O)O
FORADIL, CC(CC1=CC=C(C=C1)OC)NCC(C2=CC(=C(C=C2)O)NC=O)O
Promethazine, CC(CN1C2=CC=CC=C2SC3=CC=CC=C31)N(C)C
Terfenadine, CC(C)(C)C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O
Nortriptyline hydrochloride, CNCCC=C1C2=CC=CC=C2CCC3=CC=CC=C31.Cl
HALDOL, C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F
Quinamm, COC1=CC2=C(C=CN=C2C=C1)[C@H]([C@@H]3C[C@@H]4CCN3C[C@@H]4C=C)O.COC1=CC2=C(C=CN=C2C=C1)[C@H]([C@@H]3C[C@@H]4CCN3C[C@@H]4C=C)O.O.O.OS(=O)(=O)O
Sodium carboxymethylcellulose, CC(=O)O.C(C(C(C(C(C=O)O)O)O)O)O.[Na]
HYDROXYZINE, C1CN(CCN1CCOCCO)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl
Vincristine, CC[C@@]1(C[C@@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O
Chlorprothixene, CN(C)CC/C=C\1/C2=CC=CC=C2SC3=C1C=C(C=C3)Cl
TCA, C(=O)(C(Cl)(Cl)Cl)O
L-phenylalanine, C1=CC=C(C=C1)C[C@@H](C(=O)O)N
Glutethimide, CCC1(CCC(=O)NC1=O)C2=CC=CC=C2
Butalbital, CC(C)CC1(C(=O)NC(=O)NC1=O)CC=C
Amantadine, C1C2CC3CC1CC(C2)(C3)N
Ciprofloxacin, C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O
Rocaltrol, C[C@H](CCCC(C)(C)O)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](C[C@@H](C3=C)O)O)C
Sensipar, C[C@H](C1=CC=CC2=CC=CC=C21)NCCCC3=CC(=CC=C3)C(F)(F)F.Cl
Ifosfamide, C1CN(P(=O)(OC1)NCCCl)CCCl
MEPRON, C1CC(CCC1C2=CC=C(C=C2)Cl)C3=C(C4=CC=CC=C4C(=O)C3=O)O
Bumetanide, CCCCNC1=C(C(=CC(=C1)C(=O)O)S(=O)(=O)N)OC2=CC=CC=C2
Norepinephrine, C1=CC(=C(C=C1[C@H](CN)O)O)O
KRM-1648, C[C@H]1/C=C/C=C(\C(=O)NC2=C3C(=C4C(=C(C(=C5C4=C([C@](O5)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)O)C)O)C2=O)N=C6C(=CC(=CC6=O)N7CCN(CC7)CC(C)C)O3)/C
Phenobarbitone, CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2
Isosorbide mononitrate, C1[C@@H]([C@@H]2[C@H](O1)[C@@H](CO2)O[N+](=O)[O-])O
Nitrites, N(=O)[O-]
Primidone, CCC1(C(=O)NCNC1=O)C2=CC=CC=C2
Zileuton, CC(C1=CC2=CC=CC=C2S1)N(C(=O)N)O
Hydrocodone, CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)OC)O[C@H]3C(=O)CC4
Dopamine HCl, C1=CC(=C(C=C1CCN)O)O.Cl
Altretamine, CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C
Nadolol, CC(C)(C)NCC(COC1=CC=CC2=C1C[C@@H]([C@@H](C2)O)O)O
Rifadin, C[C@H]1/C=C/C=C(\C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)[C@](O4)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)/C=N/N5CCN(CC5)C)/C
Imipramine, CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31
Propanolol, CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O
Ampicillin, CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)C(=O)O)C
AXERT, CN(C)CCC1=CNC2=C1C=C(C=C2)CS(=O)(=O)N3CCCC3.C(C(C(=O)O)O)C(=O)O
L-CCG-1, C1[C@@H]([C@H]1C(=O)O)[C@@H](C(=O)O)N
Tranylcypromine, C1[C@H]([C@@H]1N)C2=CC=CC=C2
Digitalis, C[C@@H]1[C@H]([C@H](C[C@@H](O1)O[C@@H]2[C@H](O[C@H](C[C@@H]2O)O[C@@H]3[C@H](O[C@H](C[C@@H]3O)O[C@H]4CC[C@]5([C@@H](C4)CC[C@@H]6[C@@H]5CC[C@]7([C@@]6(CC[C@@H]7C8=CC(=O)OC8)O)C)C)C)C)O)O
Echistatin, CC[C@H](C)[C@@H](C(=O)N[C@@H](CS)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC1=CC=C(C=C1)O)C(=O)N[C@@H](CS)C(=O)N[C@@H](CC(=O)N)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CS)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CS)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(=O)N)C(=O)N3CCC[C@H]3C(=O)N[C@@H](CC4=CN=CN4)C(=O)N[C@@H](CCCCN)C(=O)NCC(=O)N5CCC[C@H]5C(=O)N[C@@H](C)C(=O)N[C@@H]([C@@H](C)O)C(=O)O)NC(=O)[C@H]([C@@H](C)O)NC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC6=CC=CC=C6)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CS)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CS)NC(=O)[C@H](CS)NC(=O)[C@@H]7CCCN7C(=O)CNC(=O)[C@H](CO)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CS)NC(=O)[C@H](CCC(=O)O)N
Ethotoin, CCN1C(=O)C(NC1=O)C2=CC=CC=C2
WELLBUTRIN, CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C.Cl
Cocaine, CN1[C@H]2CC[C@@H]1[C@H]([C@H](C2)OC(=O)C3=CC=CC=C3)C(=O)OC
Ascorbic acid, C([C@@H]([C@@H]1C(=C(C(=O)O1)O)O)O)O
4-hydroxytolbutamide, CCCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)CO
Antizol, CC1=CNN=C1
Pronestyl, CCN(CC)CCNC(=O)C1=CC=C(C=C1)N
Danazol, C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC5=C(C[C@]34C)C=NO5
Ephedrine, C[C@@H]([C@@H](C1=CC=CC=C1)O)NC
Leflunomide, CC1=C(C=NO1)C(=O)NC2=CC=C(C=C2)C(F)(F)F
Lopinavir, CC1=C(C(=CC=C1)C)OCC(=O)N[C@@H](CC2=CC=CC=C2)[C@H](C[C@H](CC3=CC=CC=C3)NC(=O)[C@H](C(C)C)N4CCCNC4=O)O
Metoprolol, CC(C)NCC(COC1=CC=C(C=C1)CCOC)O
Etonogestrel, CC[C@]12CC(=C)[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC(=O)CC[C@H]34
METH, C[C@@H](CC1=CC=CC=C1)NC
Medroxyprogesterone Acetate, C[C@H]1C[C@@H]2[C@H](CC[C@]3([C@H]2CC[C@@]3(C(=O)C)OC(=O)C)C)[C@@]4(C1=CC(=O)CC4)C
Oxytocin, CC[C@H](C)[C@H]1C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CSSC[C@@H](C(=O)N[C@H](C(=O)N1)CC2=CC=C(C=C2)O)N)C(=O)N3CCC[C@H]3C(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)N)CC(=O)N)CCC(=O)N
Retinyl acetate, CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/COC(=O)C)/C)/C
INOmax, [N]=O
Quinine, COC1=CC2=C(C=CN=C2C=C1)[C@H]([C@@H]3C[C@@H]4CCN3C[C@@H]4C=C)O
Lansoprazole, CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F
Tindal, CC(=O)C1=CC2=C(SC3=CC=CC=C3N2CCCN4CCN(CC4)CCO)C=C1.C(=C\C(=O)O)\C(=O)O.C(=C\C(=O)O)\C(=O)O
PHENYTOIN, C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3
PAH, C1=CC(=CC=C1C(=O)NCC(=O)O)N
Gold, [Au]
Codeine, CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)OC)O[C@H]3[C@H](C=C4)O
VIOXX, CS(=O)(=O)C1=CC=C(C=C1)C2=C(C(=O)OC2)C3=CC=CC=C3
Rauwolfia alkaloid, C[C@H]1[C@H]2CN3CCC4=C([C@@H]3C[C@@H]2C(=CO1)C(=O)OC)NC5=CC=CC=C45
Hydroxyurea, C(=O)(N)NO
Disalcid, C1=CC=C(C(=C1)C(=O)OC2=CC=CC=C2C(=O)O)O
Cyclosporin A, CC[C@H]1C(=O)N(CC(=O)N([C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N1)[C@@H]([C@H](C)C/C=C/C)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C
Tiagabine, CC1=C(SC=C1)C(=CCCN2CCC[C@H](C2)C(=O)O)C3=C(C=CS3)C
CCNU, C1CCC(CC1)NC(=O)N(CCCl)N=O
Selegiline hydrochloride, C[C@H](CC1=CC=CC=C1)N(C)CC#C.Cl
Eszopiclone, CN1CCN(CC1)C(=O)O[C@H]2C3=NC=CN=C3C(=O)N2C4=NC=C(C=C4)Cl
Ethacrynic acid, CCC(=C)C(=O)C1=C(C(=C(C=C1)OCC(=O)O)Cl)Cl
Procainamide, CCN(CC)CCNC(=O)C1=CC=C(C=C1)N
Arecoline, CN1CCC=C(C1)C(=O)OC
Atomoxetine, CC1=CC=CC=C1O[C@H](CCNC)C2=CC=CC=C2
Baclofen, C1=CC(=CC=C1C(CC(=O)O)CN)Cl
Neomycin, C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CN)O)O)N)O[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O[C@@H]4[C@@H]([C@H]([C@@H]([C@@H](O4)CN)O)O)N)O)O)N
STRATTERA, CC1=CC=CC=C1O[C@H](CCNC)C2=CC=CC=C2.Cl
Heroin, CC(=O)O[C@H]1C=C[C@H]2[C@H]3CC4=C5[C@]2([C@H]1OC5=C(C=C4)OC(=O)C)CCN3C
Prostaglandin F2alpha, CCCCC[C@@H](/C=C/[C@H]1[C@@H](C[C@@H]([C@@H]1C/C=C\CCCC(=O)O)O)O)O
Valproic Acid, CCCC(CCC)C(=O)O
DynaCirc, CC1=C(C(C(=C(N1)C)C(=O)OC(C)C)C2=CC=CC3=NON=C32)C(=O)OC
Ethanol, CCO
Hydrodiuril, C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl
Diethylpropion, CCN(CC)C(C)C(=O)C1=CC=CC=C1
TRACLEER, CC(C)(C)C1=CC=C(C=C1)S(=O)(=O)NC2=C(C(=NC(=N2)C3=NC=CC=N3)OCCO)OC4=CC=CC=C4OC
Diclofenac, C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl
Dezocine, C[C@]12CCCCC[C@H]([C@@H]1N)CC3=C2C=C(C=C3)O
Cefdinir, C=CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)/C(=N\O)/C3=CSC(=N3)N)SC1)C(=O)O
Femara, C1=CC(=CC=C1C#N)C(C2=CC=C(C=C2)C#N)N3C=NC=N3
Trichlorfon, COP(=O)(C(C(Cl)(Cl)Cl)O)OC
Carboxytolbutamide, CCCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)C(=O)O
Zinc, [Zn]
Cyclopropane, C1CC1
Omeprazole, CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC
Amphetamine, CC(CC1=CC=CC=C1)N
Phenytoin sodium, C1=CC=C(C=C1)C2(C(=O)[N-]C(=O)N2)C3=CC=CC=C3.[Na+]
Enalapril, CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N2CCC[C@H]2C(=O)O
PROPECIA, C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2C(=O)NC(C)(C)C)CC[C@@H]4[C@@]3(C=CC(=O)N4)C
Dyphylline, CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(CO)O
Rifamate, C[C@H]1/C=C/C=C(\C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)[C@](O4)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)/C=N/N5CCN(CC5)C)/C.C1=CN=CC=C1C(=O)NN
Milrinone, CC1=C(C=C(C(=O)N1)C#N)C2=CC=NC=C2
EULEXIN, CC(C)C(=O)NC1=CC(=C(C=C1)[N+](=O)[O-])C(F)(F)F
Paraxanthine, CN1C=NC2=C1C(=O)N(C(=O)N2)C
Progestin, CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C
Buprenorphine, C[C@]([C@H]1C[C@@]23CC[C@@]1([C@H]4[C@@]25CCN([C@@H]3CC6=C5C(=C(C=C6)O)O4)CC7CC7)OC)(C(C)(C)C)O
Prolixin, C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO.Cl.Cl
Esomeprazole, CC1=CN=C(C(=C1OC)C)C[S@](=O)C2=NC3=C(N2)C=C(C=C3)OC
